Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,124000.000000,124500.000000,123500.000000,124000.000000,105786.976563,335809
2019-11-11,124000.000000,124500.000000,123500.000000,123500.000000,105360.398438,370258
2019-11-12,123500.000000,125500.000000,123500.000000,125500.000000,107066.656250,598855
2019-11-13,125000.000000,126000.000000,124500.000000,124500.000000,106213.539063,528121
2019-11-14,125000.000000,125000.000000,124000.000000,124500.000000,106213.539063,540352
2019-11-15,124500.000000,125500.000000,124000.000000,125500.000000,107066.656250,469109
2019-11-18,125000.000000,126000.000000,124500.000000,126000.000000,107493.210938,596279
2019-11-19,125000.000000,126000.000000,124500.000000,125000.000000,106640.093750,537780
2019-11-20,124500.000000,124500.000000,123500.000000,124500.000000,106213.539063,593391
2019-11-21,124000.000000,124500.000000,123000.000000,124500.000000,106213.539063,724349
2019-11-22,124000.000000,125500.000000,123500.000000,123500.000000,105360.398438,707333
2019-11-25,124000.000000,125500.000000,123500.000000,125000.000000,106640.093750,640837
2019-11-26,124500.000000,125500.000000,122500.000000,122500.000000,104507.296875,1854318
2019-11-27,123000.000000,124000.000000,123000.000000,123500.000000,105360.398438,697261
2019-11-28,123500.000000,125000.000000,123000.000000,124000.000000,105786.976563,742295
2019-11-29,123500.000000,124500.000000,120000.000000,121000.000000,103227.609375,1016506
2019-12-02,121000.000000,121500.000000,118500.000000,121500.000000,103654.156250,862135
2019-12-03,120000.000000,121500.000000,119000.000000,121500.000000,103654.156250,849994
2019-12-04,120000.000000,124000.000000,120000.000000,122000.000000,104080.726563,1498918
2019-12-05,121500.000000,122500.000000,117500.000000,118000.000000,100668.242188,1560647
2019-12-06,118500.000000,119500.000000,118000.000000,118500.000000,101094.812500,1504634
2019-12-09,119500.000000,120500.000000,119000.000000,119500.000000,101947.914063,902113
2019-12-10,119500.000000,120500.000000,119000.000000,120000.000000,102374.492188,784383
2019-12-11,120500.000000,120500.000000,119000.000000,119000.000000,101521.367188,1015977
2019-12-12,119500.000000,120500.000000,119000.000000,120000.000000,102374.492188,5201616
2019-12-13,121500.000000,122500.000000,119500.000000,121000.000000,103227.609375,1058172
2019-12-16,120500.000000,121000.000000,119000.000000,119000.000000,101521.367188,1015046
2019-12-17,119500.000000,123000.000000,119000.000000,122000.000000,104080.726563,1904603
2019-12-18,122000.000000,123500.000000,120500.000000,123000.000000,104933.843750,1135407
2019-12-19,122500.000000,123500.000000,122000.000000,123500.000000,105360.398438,905299
2019-12-20,124000.000000,124000.000000,122500.000000,124000.000000,105786.976563,1001899
2019-12-23,124000.000000,125000.000000,122000.000000,122500.000000,104507.296875,1462906
2019-12-24,123000.000000,123000.000000,121500.000000,122000.000000,104080.726563,600726
2019-12-26,122500.000000,123000.000000,121500.000000,122500.000000,104507.296875,552469
2019-12-27,121000.000000,121000.000000,120000.000000,120500.000000,105381.828125,422565
2019-12-30,120500.000000,121500.000000,120000.000000,120500.000000,105381.828125,467794
2020-01-02,121000.000000,121000.000000,118000.000000,118000.000000,103195.484375,556532
2020-01-03,118500.000000,119000.000000,115000.000000,116000.000000,101446.398438,1145187
2020-01-06,116000.000000,117000.000000,115500.000000,116000.000000,101446.398438,334574
2020-01-07,116500.000000,117000.000000,115500.000000,115500.000000,101009.132813,674196
2020-01-08,115000.000000,115500.000000,111500.000000,112000.000000,97948.265625,1044825
2020-01-09,113000.000000,114500.000000,110000.000000,111500.000000,97510.992188,1375510
2020-01-10,112500.000000,114500.000000,112000.000000,113500.000000,99260.070313,896507
2020-01-13,113500.000000,115500.000000,113000.000000,115000.000000,100571.867188,692917
2020-01-14,115500.000000,117000.000000,115500.000000,116000.000000,101446.398438,739959
2020-01-15,116000.000000,116000.000000,114000.000000,115000.000000,100571.867188,564142
2020-01-16,117000.000000,120000.000000,116500.000000,118500.000000,103632.750000,1638719
2020-01-17,118500.000000,120000.000000,118000.000000,118500.000000,103632.750000,574301
2020-01-20,119500.000000,119500.000000,117500.000000,118000.000000,103195.484375,445922
2020-01-21,118000.000000,118500.000000,116500.000000,117000.000000,102320.945313,545156
2020-01-22,117500.000000,127000.000000,117500.000000,127000.000000,111066.320313,2773421
2020-01-23,130000.000000,131500.000000,128000.000000,130500.000000,114127.218750,2492785
2020-01-28,127000.000000,132500.000000,127000.000000,131000.000000,114564.484375,1841752
2020-01-29,132000.000000,133000.000000,129000.000000,131000.000000,114564.484375,1318578
2020-01-30,130000.000000,130500.000000,126500.000000,127500.000000,111503.593750,1034661
2020-01-31,128500.000000,129500.000000,124500.000000,125000.000000,109317.250000,1035126
2020-02-03,123000.000000,125000.000000,121000.000000,123500.000000,108005.445313,1270442
2020-02-04,123500.000000,126000.000000,122500.000000,124000.000000,108442.726563,1203992
2020-02-05,125000.000000,126000.000000,123500.000000,124000.000000,108442.726563,1032267
2020-02-06,125500.000000,133000.000000,125500.000000,132000.000000,115439.015625,1659774
2020-02-07,130500.000000,131000.000000,127500.000000,131000.000000,114564.484375,999598
2020-02-10,129500.000000,132000.000000,129000.000000,130000.000000,113689.945313,669628
2020-02-11,131000.000000,135000.000000,130500.000000,132500.000000,115876.281250,949247
2020-02-12,132500.000000,137500.000000,132500.000000,136000.000000,118937.171875,1373302
2020-02-13,137000.000000,137500.000000,133000.000000,133000.000000,116313.554688,1035208
2020-02-14,132500.000000,135000.000000,131500.000000,133500.000000,116750.828125,591584
2020-02-17,133500.000000,136000.000000,132500.000000,135500.000000,118499.898438,555451
2020-02-18,134000.000000,134500.000000,131000.000000,132500.000000,115876.281250,744150
2020-02-19,133000.000000,134000.000000,130500.000000,131500.000000,115001.742188,776121
2020-02-20,132500.000000,133000.000000,129000.000000,130000.000000,113689.945313,711858
2020-02-21,128000.000000,129500.000000,127000.000000,128000.000000,111940.859375,686417
2020-02-24,124500.000000,125000.000000,122000.000000,122500.000000,107130.906250,911932
2020-02-25,122500.000000,124500.000000,122000.000000,122500.000000,107130.906250,796176
2020-02-26,121000.000000,124000.000000,120000.000000,122500.000000,107130.906250,1001834
2020-02-27,122500.000000,123500.000000,120000.000000,121000.000000,105819.093750,779402
2020-02-28,118500.000000,119000.000000,114000.000000,115000.000000,100571.867188,1777353
2020-03-02,116000.000000,116000.000000,113000.000000,113500.000000,99260.070313,1183337
2020-03-03,116000.000000,116500.000000,112000.000000,112500.000000,98385.523438,1414986
2020-03-04,112000.000000,114000.000000,112000.000000,113000.000000,98822.804688,1319901
2020-03-05,115500.000000,116000.000000,113000.000000,114000.000000,99697.343750,1135241
2020-03-06,113000.000000,113500.000000,110000.000000,110500.000000,96636.460938,1746834
2020-03-09,110500.000000,110500.000000,110500.000000,110500.000000,96636.460938,0
2020-03-10,102500.000000,105000.000000,101000.000000,102000.000000,89202.882813,2491487
2020-03-11,103000.000000,103000.000000,99700.000000,100000.000000,87453.804688,2005654
2020-03-12,100000.000000,100000.000000,100000.000000,100000.000000,87453.804688,0
2020-03-13,86500.000000,90200.000000,83500.000000,87200.000000,76259.710938,4835445
2020-03-16,88300.000000,89500.000000,82900.000000,82900.000000,72499.210938,2674557
2020-03-17,78100.000000,83400.000000,78100.000000,80100.000000,70050.500000,2492208
2020-03-18,80500.000000,81200.000000,73500.000000,73500.000000,64278.554688,2679420
2020-03-19,75000.000000,75900.000000,65100.000000,65900.000000,57632.054688,3138004
2020-03-20,67500.000000,72400.000000,65000.000000,71100.000000,62179.648438,3349914
2020-03-23,67200.000000,71000.000000,66200.000000,68900.000000,60255.667969,2391540
2020-03-24,71500.000000,75800.000000,69800.000000,74800.000000,65415.437500,2856282
2020-03-25,79800.000000,85600.000000,78800.000000,84500.000000,73898.468750,4604452
2020-03-26,85800.000000,90200.000000,82300.000000,84900.000000,74248.273438,3787074
2020-03-27,89700.000000,90000.000000,84500.000000,86400.000000,75560.078125,2513938
2020-03-30,82800.000000,86400.000000,82100.000000,85400.000000,74685.554688,1743720
2020-03-31,87700.000000,88700.000000,86000.000000,88700.000000,77571.531250,2138183
2020-04-01,88500.000000,90100.000000,85300.000000,85400.000000,74685.554688,2139848
2020-04-02,85300.000000,86800.000000,83000.000000,86600.000000,75734.992188,1487243
2020-04-03,86600.000000,87000.000000,85600.000000,86300.000000,75472.625000,1170052
2020-04-06,86500.000000,88800.000000,85900.000000,88800.000000,77658.984375,1688599
2020-04-07,92100.000000,92500.000000,88600.000000,90400.000000,79058.242188,2601711
2020-04-08,89800.000000,91900.000000,88900.000000,90000.000000,78708.421875,1785939
2020-04-09,92300.000000,97900.000000,91100.000000,97100.000000,84917.640625,3787201
2020-04-10,97400.000000,101500.000000,96200.000000,99700.000000,87191.445313,2806785
2020-04-13,98800.000000,99000.000000,97400.000000,97800.000000,85529.820313,1339638
2020-04-14,98600.000000,101500.000000,97700.000000,100000.000000,87453.804688,1582587
2020-04-16,98900.000000,100500.000000,98300.000000,99100.000000,86666.703125,1341452
2020-04-17,101000.000000,103500.000000,100000.000000,100500.000000,87891.062500,1487879
2020-04-20,100000.000000,100500.000000,97100.000000,97600.000000,85354.906250,2142176
2020-04-21,96100.000000,96500.000000,91300.000000,93500.000000,81769.296875,3634142
2020-04-22,90800.000000,95200.000000,89400.000000,92600.000000,80982.218750,3115871
